Enfermero,UM,Paciente,Valor
5004,3012,1094,-0.0
5004,3012,1097,-0.0
5005,3001,1094,-0.0
5005,3001,1097,-0.0
5005,3002,1094,-0.0
5005,3002,1097,-0.0
5005,3003,1094,-0.0
5005,3003,1097,-0.0
5005,3004,1094,-0.0
5005,3004,1097,-0.0
5005,3005,1094,-0.0
5005,3005,1097,-0.0
5005,3006,1094,-0.0
5005,3006,1097,-0.0
5005,3007,1094,-0.0
5005,3007,1097,-0.0
5005,3008,1094,-0.0
5005,3008,1097,-0.0
5005,3009,1094,1.0
5005,3009,1097,-0.0
5005,3010,1094,-0.0
5005,3010,1097,-0.0
5005,3011,1094,-0.0
5005,3011,1097,-0.0
5005,3012,1094,-0.0
5005,3012,1097,-0.0
5006,3001,1094,-0.0
5006,3001,1097,-0.0
5006,3002,1094,0.0
5006,3002,1097,0.0
5006,3003,1094,0.0
5006,3003,1097,0.0
5006,3004,1094,0.0
5006,3004,1097,0.0
5006,3005,1094,0.0
5006,3005,1097,0.0
5006,3006,1094,0.0
5006,3006,1097,0.0
5006,3007,1094,0.0
5006,3007,1097,0.0
5006,3008,1094,0.0
5006,3008,1097,0.0
5006,3009,1094,0.0
5006,3009,1097,0.0
5006,3010,1094,0.0
5006,3010,1097,0.0
5006,3011,1094,0.0
5006,3011,1097,0.0
5006,3012,1094,0.0
5006,3012,1097,0.0
5007,3001,1094,-0.0
5007,3001,1097,0.0
5007,3002,1094,-0.0
5007,3002,1097,0.0
5007,3003,1094,-0.0
5007,3003,1097,0.0
5007,3004,1094,-0.0
5007,3004,1097,0.0
5007,3005,1094,-0.0
5007,3005,1097,-0.0
5007,3006,1094,-0.0
5007,3006,1097,0.0
5007,3007,1094,-0.0
5007,3007,1097,0.0
5007,3008,1094,-0.0
5007,3008,1097,0.0
5007,3009,1094,-0.0
5007,3009,1097,0.0
5007,3010,1094,-0.0
5007,3010,1097,0.0
5007,3011,1094,-0.0
5007,3011,1097,0.0
5007,3012,1094,-0.0
5007,3012,1097,0.0
5008,3001,1094,-0.0
5008,3001,1097,-0.0
5008,3002,1094,-0.0
5008,3002,1097,-0.0
5008,3003,1094,-0.0
5008,3003,1097,-0.0
5008,3004,1094,-0.0
5008,3004,1097,-0.0
5008,3005,1094,-0.0
5008,3005,1097,-0.0
5008,3006,1094,-0.0
5008,3006,1097,-0.0
5008,3007,1094,-0.0
5008,3007,1097,-0.0
5008,3008,1094,-0.0
5008,3008,1097,-0.0
5008,3009,1094,-0.0
5008,3009,1097,-0.0
5008,3010,1094,-0.0
5008,3010,1097,-0.0
5008,3011,1094,-0.0
5008,3011,1097,-0.0
5008,3012,1094,-0.0
5008,3012,1097,-0.0
5009,3001,1094,-0.0
5009,3001,1097,-0.0
5009,3002,1094,-0.0
5009,3002,1097,-0.0
5009,3003,1094,0.0
5009,3003,1097,-0.0
5009,3004,1094,-0.0
5009,3004,1097,-0.0
5009,3005,1094,-0.0
5009,3005,1097,-0.0
5009,3006,1094,-0.0
5009,3006,1097,-0.0
5009,3007,1094,-0.0
5009,3007,1097,-0.0
5009,3008,1094,-0.0
5009,3008,1097,-0.0
5009,3009,1094,-0.0
5009,3009,1097,-0.0
5009,3010,1094,-0.0
5009,3010,1097,-0.0
5009,3011,1094,-0.0
5009,3011,1097,-0.0
5009,3012,1094,-0.0
5009,3012,1097,-0.0
5010,3001,1094,-0.0
5010,3001,1097,-0.0
5010,3002,1094,0.0
5010,3002,1097,-0.0
5010,3003,1094,-0.0
5010,3003,1097,-0.0
5010,3004,1094,-0.0
5010,3004,1097,-0.0
5010,3005,1094,0.0
5010,3005,1097,-0.0
5010,3006,1094,0.0
5010,3006,1097,-0.0
5010,3007,1094,0.0
5010,3007,1097,-0.0
5010,3008,1094,0.0
