Enfermero,Paciente,UE,Valor
5001,1026,2006,-0.0
5001,1026,2007,-0.0
5001,1026,2008,-0.0
5001,1026,2009,-0.0
5001,1026,2010,-0.0
5001,1026,2011,-0.0
5001,1026,2012,-0.0
5001,1026,2013,-0.0
5001,1026,2014,-0.0
5001,1026,2015,-0.0
5001,1026,2016,-0.0
5001,1026,2017,-0.0
5001,1026,2018,-0.0
5001,1026,2019,-0.0
5001,1026,2020,-0.0
5001,1026,2021,-0.0
5001,1026,2022,-0.0
5001,1026,2023,-0.0
5001,1026,2024,-0.0
5001,1027,2001,-0.0
5001,1027,2002,-0.0
5001,1027,2003,-0.0
5001,1027,2004,-0.0
5001,1027,2005,-0.0
5001,1027,2006,-0.0
5001,1027,2007,-0.0
5001,1027,2008,-0.0
5001,1027,2009,-0.0
5001,1027,2010,-0.0
5001,1027,2011,-0.0
5001,1027,2012,-0.0
5001,1027,2013,-0.0
5001,1027,2014,-0.0
5001,1027,2015,-0.0
5001,1027,2016,-0.0
5001,1027,2017,-0.0
5001,1027,2018,-0.0
5001,1027,2019,-0.0
5001,1027,2020,-0.0
5001,1027,2021,-0.0
5001,1027,2022,-0.0
5001,1027,2023,-0.0
5001,1027,2024,-0.0
5001,1028,2001,0.0
5001,1028,2002,0.0
5001,1028,2003,-0.0
5001,1028,2004,0.0
5001,1028,2005,0.0
5001,1028,2006,0.0
5001,1028,2007,0.0
5001,1028,2008,0.0
5001,1028,2009,1.0
5001,1028,2010,0.0
5001,1028,2011,0.0
5001,1028,2012,0.0
5001,1028,2013,0.0
5001,1028,2014,0.0
5001,1028,2015,0.0
5001,1028,2016,0.0
5001,1028,2017,0.0
5001,1028,2018,-0.0
5001,1028,2019,0.0
5001,1028,2020,0.0
5001,1028,2021,0.0
5001,1028,2022,0.0
5001,1028,2023,0.0
5001,1028,2024,0.0
5001,1029,2001,0.0
5001,1029,2002,0.0
5001,1029,2003,0.0
5001,1029,2004,0.0
5001,1029,2005,0.0
5001,1029,2006,0.0
5001,1029,2007,0.0
5001,1029,2008,0.0
5001,1029,2009,0.0
5001,1029,2010,0.0
5001,1029,2011,0.0
5001,1029,2012,0.0
5001,1029,2013,0.0
5001,1029,2014,-0.0
5001,1029,2015,0.0
5001,1029,2016,0.0
5001,1029,2017,0.0
5001,1029,2018,0.0
5001,1029,2019,0.0
5001,1029,2020,0.0
5001,1029,2021,0.0
5001,1029,2022,0.0
5001,1029,2023,-0.0
5001,1029,2024,1.0
5001,1030,2001,-0.0
5001,1030,2002,-0.0
5001,1030,2003,-0.0
5001,1030,2004,-0.0
5001,1030,2005,-0.0
5001,1030,2006,-0.0
5001,1030,2007,-0.0
5001,1030,2008,-0.0
5001,1030,2009,-0.0
5001,1030,2010,-0.0
5001,1030,2011,-0.0
5001,1030,2012,-0.0
5001,1030,2013,-0.0
5001,1030,2014,-0.0
5001,1030,2015,-0.0
5001,1030,2016,-0.0
5001,1030,2017,-0.0
5001,1030,2018,-0.0
5001,1030,2019,-0.0
5001,1030,2020,-0.0
5001,1030,2021,-0.0
5001,1030,2022,-0.0
5001,1030,2023,-0.0
5001,1030,2024,-0.0
5001,1058,2001,0.0
5001,1058,2002,0.0
5001,1058,2003,0.0
5001,1058,2004,0.0
5001,1058,2005,0.0
5001,1058,2006,0.0
5001,1058,2007,0.0
5001,1058,2008,0.0
5001,1058,2009,-0.0
